296,Barangay 5 (Pob.),,1
297,Barangay 6 (Pob.),,1
298,Barangay 7 (Pob.),,1
299,Barangay 8 (Pob.),,1
300,Batasan,,1
301,Bayotbot,,1
302,Bubog,,1
303,Buri,,1
304,Camburay,,1
305,Caminawit,,1
306,Catayungan,,1
307,Central,,1
308,Iling Proper,,1
309,Inasakan,,1
310,Ipil,,1
311,La Curva,,1
312,Labangan Iling,,1
313,Labangan Poblacion,,1
314,Mabini,,1
315,Magbay,,1
316,Mangarin,,1
317,Mapaya,,1
318,Murtha,,1
319,Monte Claro,,1
320,Natandol,,1
321,Pag-Asa,,1
322,Pawican,,1
323,San Agustin,,1
324,San Isidro,,1
325,San Roque,,1
326,SANTA CRUZ,,1
327,Alacaak,,1
328,Barahan,,1
329,Casague,,1
330,Dayap,,1
331,Lumangbayan,,1
332,Mulawin,,1
333,Pinagturilan (San Pedro),,1
334,Poblacion I (Barangay 1),,1
335,San Vicente,,1
336,Poblacion II (Barangay 2),,1
337,Kurtinganan,,1
338,ABRA DE ILOG,,1
339,Balao,,1
340,Cabacao,,1
341,Lumangbayan,,1
342,Poblacion,,1
343,San Vicente,,1
344,Tibag,,1
345,Udalo (Camurong),,1
346,Wawa,,1
347,Armado,,1
348,CALINTAAN,,1
349,Concepcion,,1
350,Iriron,,1
351,Malpalon,,1
352,New Dagupan,,1
353,Poblacion,,1
354,Poypoy,,1
355,Tanyag,,1
356,LOOC,,1
357,Agkawayan,,1
358,Ambil,,1
359,Balikyas,,1
360,Bonbon (Pob.),,1
361,Bulacan,,1
362,Burol,,1
363,Guitna (Pob.),,1
364,Kanluran (Pob.),,1
365,Talaotao,,1
366,LUBANG,,1
367,Binakas,,1
368,Cabra,,1
369,Maligaya,,1
370,Maliig,,1
371,Tagbac,,1
372,Tangal,,1
373,Tilik,,1
374,Vigo,,1
375,Surville (Pob.),,1
376,Araw At Bituin (Pob.),,1
377,Bagong Sikat (Pob.),,1
378,Banaag At Pag-Asa (Pob.),,1
379,Likas Ng Silangan (Pob.),,1
380,Maginhawa (Pob.),,1
381,Ninikat Ng Pag-Asa (Pob.),,1
382,Paraiso (Pob.),,1
383,MAGSAYSAY,,1
384,Alibog,,1
385,Caguray,,1
386,Calawag,,1
387,Gapasan,,1
388,Laste,,1
389,Lourdes,,1
390,Nicolas (Bulo),,1
391,Paclolo,,1
392,Poblacion,,1
393,Purnaga,,1
394,Santa Teresa,,1
395,Sibalat,,1
396,MAMBURAO (Capital),,1
397,Balansay,,1
398,Fatima (Tii),,1
399,Payompon,,1
400,San Luis (Ligang),,1
401,Talabaan,,1
402,Tangkalan,,1
403,Tayamaan,,1
404,Poblacion 1 (Barangay 1),,1
405,Poblacion 2 (Barangay 2),,1
406,Poblacion 3 (Barangay 3),,1
407,Poblacion 4 (Barangay 4),,1
408,Poblacion 5 (Barangay 5),,1
409,Poblacion 6 (Barangay 6),,1
410,Poblacion 7 (Barangay 7),,1
411,Poblacion 8 (Barangay 8),,1
412,PALUAN,,1
413,Alipaoy,,1
414,Harrison,,1
415,Lumangbayan,,1
416,Mananao,,1
417,Marikit,,1
418,Mapalad Pob. (Bgy 1),,1
419,Handang Tumulong Pob. (Bgy 2),,1
420,Silahis Ng Pag-Asa Pob. (Bgy 3),,1
421,Pag-Asa Ng Bayan Pob. (Bgy 4),,1
422,Bagong Silang Pob. (Bgy 5),,1
423,San Jose Pob. (Bgy 6),,1
424,Tubili,,1
425,RIZAL,,1
426,Adela,,1
427,Aguas,,1
428,Magsikap,,1
429,Malawaan,,1
430,Pitogo,,1
431,Rizal,,1
432,Rumbang,,1
433,Salvacion,,1
434,San Pedro,,1
435,Santo Niño,,1
436,Manoot,,1
437,SABLAYAN,,1
438,Batong Buhay,,1
439,Buenavista,,1
440,Burgos,,1
441,Claudio Salgado,,1
442,General Emilio Aguinaldo,,1
443,Ibud,,1
444,Ilvita,,1
445,Ligaya,,1
446,Poblacion (Lumangbayan),,1
447,Paetan,,1
448,Pag-Asa,,1
449,San Agustin,,1
450,San Francisco,,1
451,San Nicolas,,1
452,San Vicente,,1
453,Santa Lucia,,1
454,Santo Niño,,1
455,Tagumpay,,1
456,Victoria,,1
457,Lagnas,,1
458,Malisbong,,1
459,Tuban,,1
460,ORIENTAL MINDORO,,1
461,POLA,,1
462,Bacawan,,1
463,Bacungan,,1
464,Batuhan,,1
465,Bayanan,,1
466,Biga,,1
467,Buhay Na Tubig,,1
468,Calubasanhon,,1
469,Calima,,1
470,Casiligan,,1
471,Malibago,,1
472,Maluanluan,,1
473,Matulatula,,1
474,Pahilahan,,1
475,Panikihan,,1
476,Zone I (Pob.),,1
477,Zone II (Pob.),,1
478,Pula,,1
479,Puting Cacao,,1
480,Tagbakin,,1
481,Tagumpay,,1
482,Tiguihan,,1
483,Campamento,,1
484,Misong,,1
485,PUERTO GALERA,,1
486,Aninuan,,1
487,Balatero,,1
488,Dulangan,,1
489,Palangan,,1
490,Sabang,,1
491,San Antonio,,1
492,San Isidro,,1
493,Santo Niño,,1
494,Sinandigan,,1
495,Tabinay,,1
496,Villaflor,,1
497,Poblacion,,1
498,Baclayan,,1
499,ROXAS,,1
500,Bagumbayan (Pob.),,1
501,Cantil,,1
502,Dangay,,1
503,Happy Valley,,1
504,Libertad,,1
505,Libtong,,1
506,Mabuhay,,1
507,Maraska,,1
508,Odiong,,1
509,Paclasan (Pob.),,1
510,San Aquilino,,1
511,San Isidro,,1
512,San Jose,,1
513,San Mariano,,1
514,San Miguel,,1
515,San Rafael,,1
516,San Vicente,,1
517,Uyao,,1
518,Victoria,,1
519,Little Tanauan,,1
520,SAN TEODORO,,1
521,Bigaan,,1
522,Calangatan,,1
523,Calsapa,,1
524,Ilag,,1
525,Lumangbayan,,1
526,Tacligan,,1
527,Poblacion,,1
528,Caagutayan,,1
529,SOCORRO,,1
530,Bagsok,,1
531,Batong Dalig,,1
532,Bayuin,,1
533,Calocmoy,,1
534,Catiningan,,1
535,Villareal (Daan),,1
536,Fortuna,,1
537,Happy Valley,,1
538,Calubayan,,1
539,Leuteboro I,,1
540,Leuteboro II,,1
541,Mabuhay I,,1
542,Malugay,,1
543,Matungao,,1
544,Monteverde,,1
545,Pasi I,,1
546,Pasi II,,1
547,Zone I (Pob.),,1
548,Zone II (Pob.),,1
549,Zone III (Pob.),,1
550,Zone IV (Pob.),,1
551,Santo Domingo (Lapog),,1
552,Subaan,,1
553,Bugtong Na Tuog,,1
554,Mabuhay II,,1
555,Ma. Concepcion,,1
556,VICTORIA,,1
557,Alcate,,1
558,Babangonan,,1
559,Bagong Silang,,1
560,Bagong Buhay,,1
561,Bambanin,,1
562,Bethel,,1
563,Canaan,,1
564,Concepcion,,1
565,Duongan,,1
566,Loyal,,1
567,Mabini,,1
568,Macatoc,,1
569,Malabo,,1
570,Merit,,1
571,Ordovilla,,1
572,Pakyas,,1
573,Poblacion I,,1
574,Poblacion II,,1
575,Poblacion III,,1
576,Poblacion IV,,1
577,Sampaguita,,1
578,San Antonio,,1
579,San Gabriel,,1
580,San Gelacio,,1
581,San Isidro,,1
582,San Juan,,1
583,San Narciso,,1
584,Urdaneta,,1
585,Villa Cerveza,,1
586,Jose Leido Jr.,,1
587,San Cristobal,,1
588,Antonino,,1
589,BACO,,1
590,Alag,,1
591,Bangkatan,,1
592,Burbuli,,1
593,Catwiran I,,1
594,Catwiran II,,1
595,Dulangan I,,1
596,Dulangan II,,1
597,Lumang Bayan,,1
598,Malapad,,1
599,Mangangan I,,1
600,Mangangan II,,1
601,Mayabig,,1
602,Pambisan,,1
603,Pulang-Tubig,,1
604,Putican-Cabulo,,1
605,San Andres,,1
606,San Ignacio (Dulangan III),,1
607,Santa Cruz,,1
608,Santa Rosa I,,1
609,Santa Rosa II,,1
610,Tabon-tabon,,1
611,Tagumpay,,1
612,Water,,1
613,Baras (Mangyan Minority),,1
614,Bayanan,,1
615,Lantuyang (Mangyan Minority),,1
616,Poblacion,,1
617,BANSUD,,1
618,Alcadesma,,1
619,Bato,,1
620,Conrazon,,1
621,Malo,,1
622,Manihala,,1
623,Pag-Asa,,1
624,Poblacion,,1
625,Proper Bansud,,1
626,Rosacara,,1
627,Salcedo,,1
628,Sumagui,,1
629,Proper Tiguisan,,1
630,Villa Pag-Asa,,1
631,BONGABONG,,1
632,Anilao,,1
633,Batangan,,1
634,Bukal,,1
635,Camantigue,,1
636,Carmundo,,1
637,Cawayan,,1
638,Dayhagan,,1
639,Formon,,1
640,Hagan,,1
641,Hagupit,,1
642,Kaligtasan,,1
643,Labasan,,1
644,Labonan,,1
645,Libertad,,1
646,Lisap,,1
647,Luna,,1
648,Malitbog,,1
649,Mapang,,1
650,Masaguisi,,1
651,Morente,,1
652,Ogbot,,1
653,Orconuma,,1
654,Polusahi,,1
655,Sagana,,1
656,San Isidro,,1
657,San Jose,,1
658,San Juan,,1
659,Santa Cruz,,1
660,Sigange,,1
661,Tawas,,1
662,Poblacion,,1
663,Aplaya,,1
664,Bagumbayan I,,1
665,Bagumbayan II,,1
666,Ipil,,1
667,Mina de Oro,,1
668,BULALACAO (SAN PEDRO),,1
669,Bagong Sikat,,1
670,Balatasan,,1
671,Benli (Mangyan Settlement),,1
672,Cabugao,,1
673,Cambunang (Pob.),,1
674,Campaasan (Pob.),,1
675,Maasin,,1
676,Maujao,,1
677,Milagrosa (Guiob),,1
678,Nasukob (Pob.),,1
679,Poblacion,,1
680,San Francisco (Alimawan),,1
681,San Isidro,,1
682,San Juan,,1
